year,ncessch,ncessch_num,leaid,fips,grade,race,sex,enrollment
1998,63075004782,63075004782,630750,6,9,3,99,22.0
2008,191848001059,191848001059,1918480,19,2,7,1,-2.0
2011,292295001312,292295001312,2922950,29,99,3,99,3.0
2005,470255000912,470255000912,4702550,47,10,5,2,0.0
2013,80345001407,80345001407,803450,8,1,7,1,2.0
2010,130387001418,130387001418,1303870,13,11,7,99,8.0
2002,173540003696,173540003696,1735400,17,4,99,2,29.0
2000,210066000125,210066000125,2100660,21,11,1,2,36.0
2002,231233000578,231233000578,2312330,23,5,4,2,1.0
2002,400804000332,400804000332,4008040,40,9,5,1,5.0
2017,481965010672,481965010672,4819650,48,3,99,9,0.0
2014,380001400864,380001400864,3800014,38,4,1,2,17.0
2013,63384005241,63384005241,633840,6,7,99,1,184.0
2007,330264000094,330264000094,3302640,33,99,4,99,23.0
2003,260252003972,260252003972,2602520,26,2,4,2,0.0
1999,63583002847,63583002847,635830,6,99,2,1,0.0
2018,200606001768,200606001768,2006060,20,3,6,99,0.0
2006,60744011221,60744011221,607440,6,0,3,99,0.0
2009,481956008684,481956008684,4819560,48,0,4,1,0.0
2014,360007705622,360007705622,3600077,36,9,2,2,28.0
1999,69107810231,69107810231,691078,6,2,3,2,0.0
2017,450231000495,450231000495,4502310,45,1,3,1,6.0
2016,402817001490,402817001490,4028170,40,10,3,99,8.0
2012,170015304046,170015304046,1700153,17,3,7,99,0.0
2008,484248004850,484248004850,4842480,48,1,1,99,48.0
2002,90267000515,90267000515,902670,9,4,1,99,25.0
2018,40093003462,40093003462,400930,4,4,5,99,1.0
2017,60171000038,60171000038,601710,6,4,4,2,
2013,250853001346,250853001346,2508530,25,3,99,99,19.0
2016,120156004433,120156004433,1201560,12,99,7,99,36.0
2002,292937002032,292937002032,2929370,29,7,2,2,1.0
2007,262115000537,262115000537,2621150,26,10,4,2,0.0
2003,720003001292,720003001292,7200030,72,1,99,2,24.0
1987,62271003425,62271003425,622710,6,99,1,99,274.0
2017,270007304436,270007304436,2700073,27,99,6,99,0.0
2000,130282001203,130282001203,1302820,13,-1,3,2,2.0
2008,363003004040,363003004040,3630030,36,12,2,1,9.0
2015,320006000577,320006000577,3200060,32,4,99,2,9.0
2004,468012001001,468012001001,4680120,46,1,3,2,0.0
2017,62619003911,62619003911,626190,6,5,5,99,0.0
2001,450336001297,450336001297,4503360,45,99,99,2,341.0
2016,10174000605,10174000605,101740,1,8,4,1,0.0
2005,63462005807,63462005807,634620,6,5,5,99,2.0
2001,310011500581,310011500581,3100115,31,1,2,99,0.0
2017,390456102303,390456102303,3904561,39,11,6,99,0.0
2003,340402000149,340402000149,3404020,34,7,3,2,9.0
2013,410002301300,410002301300,4100023,41,2,99,99,53.0
2016,421968003348,421968003348,4219680,42,9,7,1,12.0
2004,181090002286,181090002286,1810900,18,4,1,2,18.0
2018,10195000941,10195000941,101950,1,99,2,1,
2014,63093004792,63093004792,630930,6,8,7,1,2.0
2009,410516001183,410516001183,4105160,41,99,2,99,2.0
2015,402757001462,402757001462,4027570,40,99,6,1,2.0
2016,410249000361,410249000361,4102490,41,1,4,99,0.0
2012,201149001953,201149001953,2011490,20,5,2,2,0.0
2016,480809011538,480809011538,4808090,48,2,9,9,0.0
2014,292067001123,292067001123,2920670,29,6,1,2,63.0
1989,190762000362,190762000362,1907620,19,1,99,99,0.0
2014,250759002483,250759002483,2507590,25,7,5,2,2.0
2014,317905000405,317905000405,3179050,31,99,1,1,219.0
2012,301857000575,301857000575,3018570,30,8,7,99,1.0
2001,720003001749,720003001749,7200030,72,15,2,99,0.0
1997,170993001167,170993001167,1709930,17,99,4,99,0.0
2003,160153000264,160153000264,1601530,16,3,99,99,76.0
2017,310013401373,310013401373,3100134,31,3,99,1,6.0
2005,90006000008,90006000008,900060,9,9,2,2,14.0
2011,100068000245,100068000245,1000680,10,99,6,99,0.0
2003,220117000919,220117000919,2201170,22,9,99,99,153.0
2015,422112000293,422112000293,4221120,42,5,1,2,87.0
2018,260111408807,260111408807,2601114,26,12,99,1,48.0
2014,171317001560,171317001560,1713170,17,4,2,2,7.0
2015,173081003429,173081003429,1730810,17,4,3,1,0.0
2018,173451003599,173451003599,1734510,17,10,1,1,43.0
2014,62565003845,62565003845,625650,6,3,6,2,0.0
2017,61455008842,61455008842,614550,6,99,1,99,116.0
2017,80435006384,80435006384,804350,8,8,4,2,
1997,482025001983,482025001983,4820250,48,10,99,99,441.0
1993,470159000531,470159000531,4701590,47,1,99,99,66.0
2000,312485000433,312485000433,3124850,31,2,1,2,5.0
2008,180765001309,180765001309,1807650,18,9,4,2,8.0
2018,270028903731,270028903731,2700289,27,7,7,2,
1998,261200004695,261200004695,2612000,26,5,3,1,-1.0
2013,402277001169,402277001169,4022770,40,3,3,2,2.0
2011,530462000720,530462000720,5304620,53,3,1,2,21.0
2011,20070000739,20070000739,200700,2,5,4,1,0.0
2015,483738007549,483738007549,4837380,48,4,1,2,7.0
2008,60006501241,60006501241,600065,6,4,4,1,0.0
2016,317011001800,317011001800,3170110,31,8,3,1,2.0
2003,509991500513,509991500513,5099915,50,9,3,1,0.0
2010,40018202964,40018202964,400182,4,1,3,2,6.0
1999,130243002081,130243002081,1302430,13,1,99,1,53.0
2013,540123000968,540123000968,5401230,54,0,6,99,0.0
2014,62475000437,62475000437,624750,6,6,3,1,7.0
2012,317500001228,317500001228,3175000,31,99,4,1,0.0
2013,330159000011,330159000011,3301590,33,8,3,1,0.0
2015,422613001293,422613001293,4226130,42,99,1,2,237.0
2013,390478002999,390478002999,3904780,39,1,7,2,0.0
2008,173717003859,173717003859,1737170,17,6,7,99,0.0
2018,361863001682,361863001682,3618630,36,8,99,99,517.0
2014,120087003714,120087003714,1200870,12,-1,4,99,0.0
2012,193102001807,193102001807,1931020,19,99,1,1,123.0
2014,150003000247,150003000247,1500030,15,-1,6,99,4.0
2014,40497000398,40497000398,404970,4,6,99,99,115.0
2002,317482001387,317482001387,3174820,31,99,2,99,87.0
2014,510030001830,510030001830,5100300,51,8,5,1,0.0
2010,61077001199,61077001199,610770,6,99,7,2,2.0
2003,470222000773,470222000773,4702220,47,0,4,99,0.0
2006,482159002173,482159002173,4821590,48,8,2,1,0.0
2000,530618000929,530618000929,5306180,53,1,3,1,-1.0
2016,510225000926,510225000926,5102250,51,0,2,99,1.0
2008,60522010415,60522010415,605220,6,5,6,1,0.0
2003,390451104288,390451104288,3904511,39,3,1,99,41.0
2004,482034002018,482034002018,4820340,48,4,3,1,24.0
2017,60985001063,60985001063,609850,6,7,6,99,2.0
1999,390444501378,390444501378,3904445,39,2,99,99,50.0
2002,362943003972,362943003972,3629430,36,99,2,1,8.0
2009,422630000296,422630000296,4226300,42,8,99,1,128.0
2018,480029212871,480029212871,4800292,48,10,9,99,0.0
2013,62949011461,62949011461,629490,6,5,7,1,0.0
2018,480007109513,480007109513,4800071,48,12,2,2,5.0
2006,62865004424,62865004424,628650,6,99,2,1,5.0
2012,530861002580,530861002580,5308610,53,99,6,99,2.0
2009,421899003798,421899003798,4218990,42,1,3,99,0.0
2015,292001001067,292001001067,2920010,29,9,7,99,5.0
2002,551515001963,551515001963,5515150,55,12,2,1,0.0
2003,483432003856,483432003856,4834320,48,1,99,1,72.0
1999,470042000123,470042000123,4700420,47,0,1,1,-1.0
2016,480010513356,480010513356,4800105,48,12,99,1,46.0
2016,362616003600,362616003600,3626160,36,10,7,99,0.0
1993,560103000033,560103000033,5601030,56,99,3,99,113.0
2008,360010001951,360010001951,3600100,36,9,7,1,-2.0
2000,292064001107,292064001107,2920640,29,99,4,2,0.0
2016,720003000388,720003000388,7200030,72,5,7,1,
2001,360522000246,360522000246,3605220,36,-1,2,2,0.0
2002,60162000008,60162000008,601620,6,4,2,99,9.0
2010,170744004556,170744004556,1707440,17,4,99,1,16.0
2016,484365007146,484365007146,4843650,48,8,99,2,220.0
2004,262005005687,262005005687,2620050,26,7,2,1,0.0
2016,120018000206,120018000206,1200180,12,99,1,2,153.0
2012,422639001890,422639001890,4226390,42,3,6,99,0.0
2014,480894008939,480894008939,4808940,48,-1,99,1,3.0
2005,291932001044,291932001044,2919320,29,0,2,1,0.0
2001,370003000016,370003000016,3700030,37,99,1,2,465.0
2009,230005600547,230005600547,2300056,23,12,3,99,0.0
2010,482982003354,482982003354,4829820,48,10,2,99,7.0
2018,20076000352,20076000352,200760,2,1,6,1,0.0
2006,490027000181,490027000181,4900270,49,5,2,2,0.0
2008,40061002056,40061002056,400610,4,5,1,1,11.0
2016,10180000632,10180000632,101800,1,8,3,2,9.0
2014,280270000527,280270000527,2802700,28,10,6,1,0.0
2016,250624001302,250624001302,2506240,25,5,5,99,1.0
2006,251140001414,251140001414,2511400,25,9,3,99,0.0
2017,720003001289,720003001289,7200030,72,2,7,2,
2016,360012504241,360012504241,3600125,36,99,3,2,48.0
2012,63237008949,63237008949,632370,6,2,1,1,0.0
2000,190348000046,190348000046,1903480,19,10,3,99,2.0
2002,390483601030,390483601030,3904836,39,1,5,2,0.0
1999,280270000527,280270000527,2802700,28,99,2,99,276.0
2013,171185001411,171185001411,1711850,17,11,1,1,57.0
2008,530267002209,530267002209,5302670,53,0,6,1,-2.0
1989,261296004996,261296004996,2612960,26,99,5,99,0.0
2003,540015000083,540015000083,5400150,54,3,4,2,0.0
1998,510189000798,510189000798,5101890,51,15,4,99,0.0
2015,231476200797,231476200797,2314762,23,4,3,2,0.0
1998,361263001032,361263001032,3612630,36,99,5,99,5.0
2018,120150001544,120150001544,1201500,12,6,3,99,55.0
2013,317239001107,317239001107,3172390,31,1,5,99,0.0
2017,360010302044,360010302044,3600103,36,1,7,1,
2015,274272001809,274272001809,2742720,27,99,99,1,630.0
2002,10237001688,10237001688,102370,1,10,5,99,4.0
2011,120168001842,120168001842,1201680,12,0,7,1,2.0
2010,220111000819,220111000819,2201110,22,-1,5,2,0.0
2015,120150008162,120150008162,1201500,12,10,2,1,0.0
2011,590007700173,590007700173,5900077,59,3,2,2,-1.0
2001,540165001201,540165001201,5401650,54,7,1,99,25.0
2009,40171000107,40171000107,401710,4,99,3,1,162.0
2011,361995001820,361995001820,3619950,36,5,6,2,0.0
1999,220105000782,220105000782,2201050,22,10,3,2,0.0
1998,421899006539,421899006539,4218990,42,99,3,1,0.0
2001,220078000560,220078000560,2200780,22,5,5,2,0.0
2005,482613009306,482613009306,4826130,48,-1,2,2,0.0
2010,550276000314,550276000314,5502760,55,12,7,99,1.0
2008,361788001604,361788001604,3617880,36,99,99,2,166.0
2017,363096004160,363096004160,3630960,36,11,6,2,0.0
1999,362058004359,362058004359,3620580,36,1,99,99,85.0
2008,20002000014,20002000014,200020,2,4,6,1,0.0
2013,40061502669,40061502669,400615,4,12,1,1,0.0
1998,370483001935,370483001935,3704830,37,99,3,99,4.0
2018,360015302003,360015302003,3600153,36,11,4,2,0.0
2014,360012202109,360012202109,3600122,36,4,6,2,-1.0
2006,210339000906,210339000906,2103390,21,4,1,2,28.0
2015,401329000616,401329000616,4013290,40,-1,3,99,3.0
2013,40378002118,40378002118,403780,4,6,4,2,2.0
1998,362058002431,362058002431,3620580,36,1,2,2,-1.0
2002,720003001602,720003001602,7200030,72,2,1,1,0.0
2008,400243000003,400243000003,4002430,40,15,6,2,-2.0
2008,250243000134,250243000134,2502430,25,11,2,99,1.0
2017,60816010605,60816010605,608160,6,12,7,2,5.0
2012,120039000461,120039000461,1200390,12,3,2,1,9.0
2011,360303000077,360303000077,3603030,36,0,5,2,0.0
2007,421899003860,421899003860,4218990,42,11,99,99,205.0
2014,80561000965,80561000965,805610,8,5,99,99,46.0
2001,62274003479,62274003479,622740,6,2,4,2,6.0
2012,171341004622,171341004622,1713410,17,1,6,1,0.0
2018,510375002002,510375002002,5103750,51,1,9,9,0.0
2014,390468102663,390468102663,3904681,39,99,99,2,318.0
2010,421899003602,421899003602,4218990,42,-1,1,99,0.0
2010,63311012128,63311012128,633110,6,99,6,99,0.0
2001,210057000106,210057000106,2100570,21,3,2,2,1.0
2018,60939000952,60939000952,609390,6,3,5,1,
1998,422637000553,422637000553,4226370,42,4,99,2,0.0
1999,271317000662,271317000662,2713170,27,0,2,99,0.0
2001,173480003661,173480003661,1734800,17,99,1,1,67.0
2014,210102000202,210102000202,2101020,21,11,4,1,0.0
2011,400351000089,400351000089,4003510,40,3,2,2,0.0
2003,80537000901,80537000901,805370,8,3,5,2,1.0
2018,262112005784,262112005784,2621120,26,0,5,2,0.0
1989,310001500122,310001500122,3100015,31,9,99,99,21.0
2006,60363000304,60363000304,603630,6,0,4,2,1.0
2006,260009300597,260009300597,2600093,26,8,99,1,28.0
2009,90129000214,90129000214,901290,9,6,5,1,0.0
2011,20086200380,20086200380,200862,2,-1,4,1,0.0
2004,360849004765,360849004765,3608490,36,8,5,2,0.0
2018,61524001922,61524001922,615240,6,1,9,9,0.0
2011,350039000684,350039000684,3500390,35,7,4,1,0.0
1999,370504002018,370504002018,3705040,37,9,99,99,301.0
2009,201299000256,201299000256,2012990,20,1,6,1,0.0
2017,130198000891,130198000891,1301980,13,3,1,99,56.0
2010,420684002729,420684002729,4206840,42,1,7,99,5.0
2016,120015000113,120015000113,1200150,12,3,7,99,3.0
2001,270017203040,270017203040,2700172,27,10,4,1,0.0
2001,720003000691,720003000691,7200030,72,5,99,99,35.0
2005,120051000835,120051000835,1200510,12,9,1,99,217.0
2013,310014801553,310014801553,3100148,31,4,2,1,0.0
2010,360702000496,360702000496,3607020,36,2,2,99,1.0
2017,260660000470,260660000470,2606600,26,-1,4,2,
1994,68450010267,68450010267,684500,6,99,4,99,110.0
2017,20000300412,20000300412,200003,2,10,2,2,0.0
2000,390491303502,390491303502,3904913,39,7,2,1,0.0
2002,390436300189,390436300189,3904363,39,0,4,2,0.0
1998,180102000179,180102000179,1801020,18,1,1,2,38.0
2015,262919006505,262919006505,2629190,26,6,3,1,0.0
2000,720003000284,720003000284,7200030,72,4,2,1,0.0
2015,191011000642,191011000642,1910110,19,4,5,1,0.0
1998,470303001216,470303001216,4703030,47,99,1,2,0.0
1987,550729000793,550729000793,5507290,55,11,99,99,253.0
1999,290495000060,290495000060,2904950,29,2,5,1,0.0
2010,240015001344,240015001344,2400150,24,12,4,99,0.0
2018,170505002987,170505002987,1705050,17,99,99,9,0.0
2010,62271003103,62271003103,622710,6,4,6,2,0.0
1999,260010800690,260010800690,2600108,26,2,2,1,13.0
2014,291230000502,291230000502,2912300,29,8,5,99,0.0
2011,530066000139,530066000139,5300660,53,12,1,99,197.0
2017,220021000098,220021000098,2200210,22,12,4,1,
2017,381947000685,381947000685,3819470,38,4,6,1,
2009,120051000439,120051000439,1200510,12,99,6,99,-2.0
2008,580001100179,580001100179,5800011,58,12,3,2,3.0
2013,481371000862,481371000862,4813710,48,-1,4,1,0.0
2011,360001101026,360001101026,3600011,36,3,3,1,0.0
2014,720003000747,720003000747,7200030,72,4,5,99,0.0
1999,10027000593,10027000593,100270,1,12,4,1,-1.0
2006,482878007959,482878007959,4828780,48,9,3,1,0.0
2002,482364002419,482364002419,4823640,48,-1,4,99,0.0
1999,10348001339,10348001339,103480,1,7,1,2,20.0
2017,220087000660,220087000660,2200870,22,11,2,99,168.0
2010,361713003229,361713003229,3617130,36,8,2,1,1.0
2013,251206001989,251206001989,2512060,25,4,99,1,67.0
2007,80336000319,80336000319,803360,8,-1,3,1,8.0
2001,80348000448,80348000448,803480,8,12,2,1,0.0
2018,40286000217,40286000217,402860,4,0,1,2,5.0
2007,390131305385,390131305385,3901313,39,8,3,99,0.0
2013,361098000878,361098000878,3610980,36,6,1,2,163.0
2003,480011508239,480011508239,4800115,48,99,1,1,11.0
2008,10207000792,10207000792,102070,1,10,1,2,0.0
2003,341191000666,341191000666,3411910,34,2,3,1,0.0
2018,362676003651,362676003651,3626760,36,7,7,2,0.0
2000,380702000224,380702000224,3807020,38,99,1,2,9.0
2010,401870000887,401870000887,4018700,40,99,4,99,0.0
2010,482643021224,482643021224,4826430,48,-1,5,1,0.0
2001,192607001480,192607001480,1926070,19,2,5,1,1.0
2011,170993000585,170993000585,1709930,17,3,5,2,0.0
1999,171728002026,171728002026,1717280,17,4,5,2,0.0
1998,80258000148,80258000148,802580,8,1,5,2,-1.0
2005,482566009457,482566009457,4825660,48,-1,3,2,7.0
2011,550876002414,550876002414,5508760,55,6,1,1,30.0
2013,160036000071,160036000071,1600360,16,4,6,1,0.0
1992,390447401602,390447401602,3904474,39,0,99,99,49.0
2017,170993006131,170993006131,1709930,17,0,99,99,84.0
2007,490114000063,490114000063,4901140,49,9,3,2,28.0
2004,170993001078,170993001078,1709930,17,5,99,99,21.0
1998,470294001100,470294001100,4702940,47,4,2,99,0.0
2014,271857004463,271857004463,2718570,27,11,1,1,2.0
2012,172409005034,172409005034,1724090,17,10,6,1,0.0
2018,466693001346,466693001346,4666930,46,7,5,99,0.0
2012,540030000191,540030000191,5400300,54,99,99,99,326.0
2003,350048000199,350048000199,3500480,35,-1,4,2,0.0
2001,240009000239,240009000239,2400090,24,1,5,99,0.0
2004,390447601619,390447601619,3904476,39,11,5,99,0.0
2003,450111000418,450111000418,4501110,45,3,4,1,3.0
2002,250993002596,250993002596,2509930,25,0,99,2,0.0
2012,160153000262,160153000262,1601530,16,11,2,2,2.0
2007,63255005046,63255005046,632550,6,4,99,1,33.0
2006,560287000074,560287000074,5602870,56,2,3,1,0.0
2001,61455008469,61455008469,614550,6,5,99,2,46.0
2013,80537001832,80537001832,805370,8,0,5,99,0.0
2001,272136002448,272136002448,2721360,27,0,99,2,36.0
2016,530357002938,530357002938,5303570,53,99,3,1,16.0
2008,362538003514,362538003514,3625380,36,8,1,99,56.0
2000,120108003418,120108003418,1201080,12,12,3,1,0.0
2011,251098001760,251098001760,2510980,25,4,5,1,0.0
2006,270001403054,270001403054,2700014,27,3,99,1,0.0
2016,320000100843,320000100843,3200001,32,5,99,2,26.0
2006,173451003558,173451003558,1734510,17,6,3,1,38.0
2000,403024029788,403024029788,4030240,40,5,5,2,1.0
2018,160159000097,160159000097,1601590,16,6,4,1,0.0
2007,180963001577,180963001577,1809630,18,7,5,99,0.0
2009,240051001029,240051001029,2400510,24,9,5,99,1.0
1999,220066000469,220066000469,2200660,22,3,5,1,0.0
2014,192013001194,192013001194,1920130,19,4,6,2,0.0
2009,100020000223,100020000223,1000200,10,0,2,99,13.0
2002,120153001587,120153001587,1201530,12,2,5,1,0.0
2016,340975003960,340975003960,3409750,34,4,99,2,131.0
2002,90174000310,90174000310,901740,9,2,5,99,2.0
1998,262484006146,262484006146,2624840,26,10,4,2,-1.0
2018,170001505226,170001505226,1700015,17,99,5,2,
2004,550753000869,550753000869,5507530,55,1,3,2,0.0
2001,251113001810,251113001810,2511130,25,2,2,2,9.0
2017,401617000753,401617000753,4016170,40,0,4,2,
2012,482571002895,482571002895,4825710,48,9,3,2,0.0
2006,280105000122,280105000122,2801050,28,1,3,99,0.0
2016,170993000652,170993000652,1709930,17,0,7,1,
2007,510084002099,510084002099,5100840,51,99,2,2,84.0
2002,263519007104,263519007104,2635190,26,5,5,1,0.0
2013,180171000228,180171000228,1801710,18,4,1,99,43.0
2003,40708000608,40708000608,407080,4,3,2,99,13.0
2012,120039000379,120039000379,1200390,12,5,4,99,0.0
2002,263648507244,263648507244,2636485,26,2,1,2,38.0
2004,330468000275,330468000275,3304680,33,12,5,99,1.0
2008,120126001261,120126001261,1201260,12,0,5,1,0.0
2016,40782000692,40782000692,407820,4,3,2,99,2.0
2016,361086004440,361086004440,3610860,36,0,6,2,0.0
1999,62724004109,62724004109,627240,6,11,1,1,136.0
2016,262073005741,262073005741,2620730,26,0,1,99,40.0
1987,292937002034,292937002034,2929370,29,4,99,99,95.0
2004,362859003854,362859003854,3628590,36,2,1,2,1.0
2008,120087000962,120087000962,1200870,12,0,6,2,-2.0
2001,402520001325,402520001325,4025200,40,6,4,2,0.0
2016,360699000489,360699000489,3606990,36,0,5,1,
2000,61149001281,61149001281,611490,6,1,3,2,3.0
2009,350006000035,350006000035,3500060,35,3,7,1,0.0
2009,62583003881,62583003881,625830,6,99,7,1,30.0
2016,340558003788,340558003788,3405580,34,0,9,9,0.0
2006,560569000314,560569000314,5605690,56,4,3,1,0.0
2004,390450601972,390450601972,3904506,39,99,2,1,1.0
2006,390448801758,390448801758,3904488,39,10,5,99,1.0
2005,390435200103,390435200103,3904352,39,1,4,1,1.0
2016,470014801626,470014801626,4700148,47,2,99,9,0.0
2005,120192002968,120192002968,1201920,12,10,5,1,0.0
2007,80399001717,80399001717,803990,8,2,4,2,2.0
2000,51068000787,51068000787,510680,5,5,5,2,0.0
2000,530567000840,530567000840,5305670,53,4,3,2,-1.0
2010,510366001598,510366001598,5103660,51,99,4,1,7.0
2012,262883006464,262883006464,2628830,26,-1,3,2,-1.0
2015,120066007719,120066007719,1200660,12,4,5,1,0.0
2018,350225000515,350225000515,3502250,35,-1,6,99,0.0
2006,464545000407,464545000407,4645450,46,3,4,1,0.0
2009,62250002747,62250002747,622500,6,6,6,2,3.0
2017,360005704804,360005704804,3600057,36,6,3,2,13.0
2013,292790002446,292790002446,2927900,29,8,7,1,0.0
2007,482060021554,482060021554,4820600,48,11,99,1,12.0
2001,390468904229,390468904229,3904689,39,2,3,2,1.0
2007,210495000506,210495000506,2104950,21,10,2,1,1.0
2010,120105001108,120105001108,1201050,12,4,4,2,4.0
2017,560276000462,560276000462,5602760,56,5,9,99,0.0
2001,470216000701,470216000701,4702160,47,5,2,99,0.0
2000,550192000245,550192000245,5501920,55,2,3,99,0.0
2005,301629000502,301629000502,3016290,30,4,3,99,0.0
2007,170993000770,170993000770,1709930,17,5,1,1,0.0
1998,551215000434,551215000434,5512150,55,7,4,2,0.0
2007,120015000098,120015000098,1200150,12,99,2,2,47.0
2003,272907001267,272907001267,2729070,27,6,4,1,1.0
2011,40044802638,40044802638,400448,4,4,2,1,0.0
2016,390497703690,390497703690,3904977,39,5,99,9,0.0
2000,482499002793,482499002793,4824990,48,5,5,1,0.0
2006,262307005995,262307005995,2623070,26,99,1,1,134.0
2001,64098006770,64098006770,640980,6,4,4,99,1.0
2003,370483001939,370483001939,3704830,37,3,3,1,1.0
2004,340246001008,340246001008,3402460,34,8,99,99,262.0
2012,720003001542,720003001542,7200030,72,99,7,2,0.0
2004,410774000638,410774000638,4107740,41,3,99,99,21.0
2016,181087001776,181087001776,1810870,18,1,6,1,
2018,590011000181,590011000181,5900110,59,99,99,2,60.0
2012,482850010916,482850010916,4828500,48,0,6,2,0.0
2001,220162001255,220162001255,2201620,22,99,1,99,362.0
2015,174169005697,174169005697,1741690,17,4,99,2,55.0
2000,580000900164,580000900164,5800009,58,6,4,1,8.0
2003,40885001954,40885001954,408850,4,0,2,99,3.0
2010,484347004927,484347004927,4843470,48,0,1,2,13.0
1999,62583003877,62583003877,625830,6,99,1,1,633.0
2009,170993001106,170993001106,1709930,17,99,2,99,2.0
1998,62241007298,62241007298,622410,6,0,5,99,2.0
2013,210477002387,210477002387,2104770,21,3,4,99,0.0
2016,530039003354,530039003354,5300390,53,99,9,99,0.0
2011,560142000046,560142000046,5601420,56,9,4,2,0.0
2008,40340000601,40340000601,403400,4,-1,1,1,13.0
2018,370345001417,370345001417,3703450,37,99,6,1,4.0
2009,560198000114,560198000114,5601980,56,99,6,2,0.0
2002,510313002305,510313002305,5103130,51,3,1,2,22.0
2000,510246001010,510246001010,5102460,51,99,3,1,3.0
2017,550987003016,550987003016,5509870,55,8,99,2,1.0
2012,402172001076,402172001076,4021720,40,1,7,2,4.0
2016,420342000527,420342000527,4203420,42,7,2,2,0.0
2009,290002203052,290002203052,2900022,29,3,4,99,0.0
2006,180252000303,180252000303,1802520,18,5,1,1,9.0
1999,510126001767,510126001767,5101260,51,99,1,2,0.0
2001,530270000420,530270000420,5302700,53,99,99,2,379.0
2014,240009000180,240009000180,2400090,24,-1,3,1,8.0
2003,80522000861,80522000861,805220,8,7,2,1,0.0
2016,360008502505,360008502505,3600085,36,15,4,2,
2008,260402004089,260402004089,2604020,26,99,4,2,0.0
2005,63942006571,63942006571,639420,6,0,2,1,0.0
2014,191041000663,191041000663,1910410,19,10,3,1,1.0
2011,390140505596,390140505596,3901405,39,1,7,99,2.0
2008,720003001187,720003001187,7200030,72,99,3,2,167.0
1996,540042000249,540042000249,5400420,54,3,99,99,19.0
2013,63559006069,63559006069,635590,6,0,2,1,1.0
2013,317527001900,317527001900,3175270,31,1,7,2,0.0
2003,171185001424,171185001424,1711850,17,5,3,2,0.0
2006,170444000130,170444000130,1704440,17,11,4,1,0.0
2007,40168000097,40168000097,401680,4,0,3,2,67.0
2002,401537000722,401537000722,4015370,40,0,3,1,5.0
2018,40034702471,40034702471,400347,4,9,7,1,0.0
2005,360010002667,360010002667,3600100,36,5,1,2,21.0
2018,40081602998,40081602998,400816,4,9,4,1,0.0
2014,403360229844,403360229844,4033602,40,10,99,1,18.0
2006,62106002530,62106002530,621060,6,10,1,1,9.0
2000,180723001215,180723001215,1807230,18,0,3,99,1.0
2011,490012201214,490012201214,4900122,49,2,99,1,43.0
1992,181062001743,181062001743,1810620,18,99,99,99,778.0
2006,540057000350,540057000350,5400570,54,10,2,2,0.0
2000,10117000434,10117000434,101170,1,4,4,99,2.0
2007,240051001384,240051001384,2400510,24,10,2,99,7.0
2007,272124000999,272124000999,2721240,27,3,5,99,2.0
2012,530270000424,530270000424,5302700,53,2,6,99,0.0
2011,120039006851,120039006851,1200390,12,8,99,2,1.0
2018,470027000060,470027000060,4700270,47,1,99,1,33.0
2014,171371001724,171371001724,1713710,17,5,6,99,0.0
2004,483702006899,483702006899,4837020,48,5,2,2,7.0
2017,170993001157,170993001157,1709930,17,6,99,99,116.0
1991,341485002904,341485002904,3414850,34,5,99,99,30.0
2010,120153004425,120153004425,1201530,12,9,3,2,-2.0
1998,62271003135,62271003135,622710,6,4,3,99,183.0
2007,250558000879,250558000879,2505580,25,0,99,1,20.0
2009,290912000268,290912000268,2909120,29,6,2,2,2.0
2011,390498303700,390498303700,3904983,39,9,1,2,73.0
2015,530804002158,530804002158,5308040,53,6,5,1,0.0
2013,540057001478,540057001478,5400570,54,5,6,99,0.0
2018,450210001448,450210001448,4502100,45,1,99,99,34.0
1998,62553003839,62553003839,625530,6,12,2,99,46.0
2014,481398000884,481398000884,4813980,48,9,2,1,1.0
2013,271894000894,271894000894,2718940,27,99,7,1,3.0
2008,63801006425,63801006425,638010,6,7,2,2,3.0
2017,300735001023,300735001023,3007350,30,5,99,1,0.0
2014,120009007791,120009007791,1200090,12,6,99,2,97.0
2009,130288003618,130288003618,1302880,13,4,1,2,49.0
2004,482253002288,482253002288,4822530,48,0,1,2,3.0
2016,450387001464,450387001464,4503870,45,-1,1,1,8.0
2015,273381001550,273381001550,2733810,27,11,4,1,21.0
2004,530852001434,530852001434,5308520,53,4,99,1,22.0
2005,340480000137,340480000137,3404800,34,99,2,99,427.0
2008,530372000569,530372000569,5303720,53,3,1,99,4.0
2001,130363001360,130363001360,1303630,13,-1,1,99,5.0
2014,390443901315,390443901315,3904439,39,1,5,2,0.0
2015,370357001462,370357001462,3703570,37,1,5,1,2.0
2001,172028002281,172028002281,1720280,17,3,2,99,1.0
2005,62271002963,62271002963,622710,6,5,1,2,2.0
2006,240003000026,240003000026,2400030,24,2,3,99,0.0
2017,530969001641,530969001641,5309690,53,4,99,1,44.0
2010,481023000494,481023000494,4810230,48,1,99,2,30.0
2014,172640001824,172640001824,1726400,17,99,99,99,260.0
2010,480015908364,480015908364,4800159,48,12,6,1,0.0
2003,390465702594,390465702594,3904657,39,0,3,2,0.0
2017,280240001254,280240001254,2802400,28,7,2,99,10.0
2013,320006000578,320006000578,3200060,32,99,1,1,547.0
2009,482892005407,482892005407,4828920,48,12,1,2,6.0
