year,ncessch,ncessch_num,leaid,fips,grade,race,sex,enrollment
2001,231167000510,231167000510,2311670,23,11,3,1,1.0
2016,120018008373,120018008373,1200180,12,12,99,1,0.0
2000,120003000005,120003000005,1200030,12,99,99,99,455.0
1991,540078000616,540078000616,5400780,54,99,3,99,0.0
2008,317284001146,317284001146,3172840,31,1,5,1,0.0
2007,350006000018,350006000018,3500060,35,99,99,2,118.0
2016,370114000468,370114000468,3701140,37,5,1,1,33.0
2010,310498000684,310498000684,3104980,31,8,99,2,0.0
2016,170993004722,170993004722,1709930,17,3,5,99,2.0
2000,10003000006,10003000006,100030,1,99,5,2,0.0
2011,390438405323,390438405323,3904384,39,3,7,99,0.0
2009,90285000600,90285000600,902850,9,-1,1,99,35.0
2011,390486203320,390486203320,3904862,39,11,5,1,0.0
2014,191980001163,191980001163,1919800,19,6,7,1,1.0
2009,60006501241,60006501241,600065,6,3,5,99,0.0
2007,63405005342,63405005342,634050,6,4,3,2,3.0
2013,260717004313,260717004313,2607170,26,6,1,1,13.0
2006,262034005716,262034005716,2620340,26,8,99,2,78.0
2015,341638002916,341638002916,3416380,34,2,3,2,-1.0
2002,262028005707,262028005707,2620280,26,1,99,2,34.0
2013,240015000504,240015000504,2400150,24,4,99,2,55.0
2011,191644000981,191644000981,1916440,19,9,1,99,43.0
1996,362058002309,362058002309,3620580,36,99,99,99,990.0
2015,291191000438,291191000438,2911910,29,99,3,1,2.0
2018,120144001414,120144001414,1201440,12,4,9,9,0.0
2010,510246000996,510246000996,5102460,51,10,2,2,50.0
2004,120162001812,120162001812,1201620,12,-1,4,99,0.0
2003,350006000024,350006000024,3500060,35,10,5,99,32.0
2013,150003000195,150003000195,1500030,15,2,7,99,17.0
2016,390477604624,390477604624,3904776,39,-1,1,1,38.0
2001,362058002135,362058002135,3620580,36,2,3,2,74.0
1999,61233007698,61233007698,612330,6,5,3,2,0.0
2013,120150001527,120150001527,1201500,12,99,7,1,35.0
2018,61455001737,61455001737,614550,6,99,7,1,21.0
1998,130144000621,130144000621,1301440,13,5,4,1,0.0
2018,120108001138,120108001138,1201080,12,3,6,2,0.0
1998,390498403709,390498403709,3904984,39,10,4,2,1.0
2002,421899003687,421899003687,4218990,42,3,4,99,0.0
2017,480920000382,480920000382,4809200,48,10,1,1,193.0
1998,171020001243,171020001243,1710200,17,2,5,1,0.0
2011,130384001012,130384001012,1303840,13,-1,7,2,0.0
2018,61632502075,61632502075,616325,6,4,99,1,18.0
2018,220162001262,220162001262,2201620,22,4,9,9,0.0
2007,301320000383,301320000383,3013200,30,0,4,2,0.0
2002,720003001180,720003001180,7200030,72,4,4,99,0.0
2007,510117000418,510117000418,5101170,51,4,4,2,0.0
2011,60231000100,60231000100,602310,6,1,4,2,2.0
2003,370472001830,370472001830,3704720,37,12,1,2,145.0
2002,291869001021,291869001021,2918690,29,5,3,2,1.0
2010,483176003536,483176003536,4831760,48,4,99,1,54.0
2002,292535001462,292535001462,2925350,29,3,2,1,0.0
2002,40644000557,40644000557,406440,4,3,5,99,0.0
2013,350162000426,350162000426,3501620,35,2,1,2,2.0
2014,60687008803,60687008803,606870,6,99,2,99,5.0
2001,240033000807,240033000807,2400330,24,4,4,2,7.0
2005,482517005515,482517005515,4825170,48,2,3,1,15.0
2001,210135000269,210135000269,2101350,21,9,99,2,174.0
2013,480001407174,480001407174,4800014,48,2,99,2,26.0
2013,120087007812,120087007812,1200870,12,5,7,1,0.0
2001,64260006973,64260006973,642600,6,2,3,99,0.0
2005,360585000335,360585000335,3605850,36,0,5,1,0.0
2017,220138001111,220138001111,2201380,22,99,4,2,3.0
2005,200438000743,200438000743,2004380,20,1,99,2,10.0
2012,490003000026,490003000026,4900030,49,1,5,1,0.0
1987,180789001351,180789001351,1807890,18,99,2,99,3.0
2003,720003000305,720003000305,7200030,72,99,3,99,132.0
